Dataset,Agent,PSNR,SSIM,LPIPS,BPP
kodak,JPEG_Q30,27.916378232831278,0.8359306579115819,0.06329553574323654,1.013671875
kodak,JPEG_Q50,29.58855732938822,0.8826580366183115,0.027008378878235817,1.3653564453125
kodak,JPEG_Q70,31.20186505358007,0.9159362480765051,0.015324671752750874,1.8150634765625
kodak,JPEG_Q90,35.696153769978174,0.9676696439799392,0.004331545904278755,3.328369140625
kodak,PNG,inf,1.0,0.0,15.528076171875
kodak,WebP,31.62089277885777,0.9225124789064703,0.01755283586680889,1.169189453125
kodak,AE,14.825307530084185,0.2031508992584007,0.8451161980628967,64.0
kodak,VAE,14.355767273026903,0.16632711284044235,0.8426693677902222,256.0
kodak,NIC_Q1,24.67486091896278,0.6415998058873685,0.36880484223365784,1.29296875
kodak,NIC_Q3,27.206630851141746,0.7880091284669062,0.20002512633800507,3.1796875
kodak,NIC_Q5,30.572202704394307,0.8963838143145209,0.04794580861926079,7.5546875
kodak,ScaleHyperprior_q1,25.380310288310447,0.6815893215029408,0.3492814302444458,0.20361328125
kodak,ScaleHyperprior_q3,28.703649643925676,0.8416163644394007,0.1488140970468521,0.51708984375
kodak,ScaleHyperprior_q5,32.398354790166195,0.9317361373402641,0.022174550220370293,1.126953125
kodak,GAN,22.60247118478427,0.486482611259093,0.5343068838119507,6.0
kodak,SD_FP16,24.23198432218491,0.6542188686651412,0.058072589337825775,2.0
kodak,SD_INT8,18.933705094543214,0.40672668517825944,0.20383857190608978,0.5
kodak,JPEG_Q30,29.69579062988402,0.771156942771927,0.09906598925590515,0.537841796875
kodak,JPEG_Q50,30.77650745755458,0.8143459881904547,0.059974756091833115,0.7445068359375
kodak,JPEG_Q70,32.061580450682726,0.8445675043442322,0.03565797954797745,1.038818359375
kodak,JPEG_Q90,35.03086542642946,0.9151031193896019,0.008691963739693165,2.08154296875
kodak,PNG,inf,1.0,0.0,12.91845703125
kodak,WebP,32.24473709011331,0.8429430046994804,0.06527545303106308,0.437255859375
kodak,AE,10.40896383736563,0.3995243294053483,0.7962584495544434,64.0
kodak,VAE,10.098894236737195,0.25212837350480716,0.7386071681976318,256.0
kodak,NIC_Q1,28.277400049918885,0.7394393097089854,0.28164124488830566,0.890625
kodak,NIC_Q3,30.519146392595804,0.7968738027494094,0.1600947380065918,1.86328125
kodak,NIC_Q5,33.370029036359114,0.8621610297563782,0.08020901679992676,4.140625
kodak,ScaleHyperprior_q1,28.204146669475673,0.7376868791307195,0.3052884042263031,0.09912109375
kodak,ScaleHyperprior_q3,30.797054699434334,0.801295545899079,0.1758657842874527,0.22021484375
kodak,ScaleHyperprior_q5,33.69526528083143,0.8670388942043639,0.08605743944644928,0.51708984375
kodak,GAN,27.936349685663696,0.7495395478670345,0.3561946451663971,6.0
kodak,SD_FP16,29.32174526242337,0.7560955792772516,0.04407691955566406,2.0
kodak,SD_INT8,20.125333270467873,0.5424552069690126,0.18868188560009003,0.5
kodak,JPEG_Q30,30.638998814198118,0.856391097766947,0.05973740667104721,0.622314453125
kodak,JPEG_Q50,32.05549695002057,0.88600931892671,0.03614184260368347,0.832275390625
kodak,JPEG_Q70,33.39533326748824,0.9122498659622872,0.019791217520833015,1.1259765625
kodak,JPEG_Q90,36.88413739955412,0.9541536794102173,0.006073621101677418,2.1038818359375
kodak,PNG,inf,1.0,0.0,12.3126220703125
kodak,WebP,33.23269254626488,0.9090327116150023,0.03398500382900238,0.5263671875
kodak,AE,12.983459128665832,0.4941729655998464,0.7078757286071777,64.0
kodak,VAE,12.611151358687426,0.36753644861414697,0.6989743709564209,256.0
kodak,NIC_Q1,29.274260782707096,0.824751937404424,0.19437275826931,0.859375
kodak,NIC_Q3,31.8187217579519,0.8780175525492814,0.12998704612255096,1.80859375
kodak,NIC_Q5,34.43011521832012,0.9240829550078372,0.05660431459546089,3.875
kodak,ScaleHyperprior_q1,29.164037599408196,0.8216814493096841,0.20190969109535217,0.10107421875
kodak,ScaleHyperprior_q3,32.08656955079756,0.879613350593441,0.1249312236905098,0.2265625
kodak,ScaleHyperprior_q5,35.269768154897434,0.9325625198313418,0.051281288266181946,0.50439453125
kodak,GAN,27.766494702798884,0.8117114885421618,0.2886276841163635,6.0
kodak,SD_FP16,29.96287986042825,0.849050751393197,0.021146444603800774,2.0
kodak,SD_INT8,19.74347581380745,0.6686228344068995,0.17426951229572296,0.5
kodak,JPEG_Q30,30.08502608389318,0.8278803278617186,0.08656042814254761,0.68212890625
kodak,JPEG_Q50,31.35942587037675,0.8617107620608345,0.04376624524593353,0.93017578125
kodak,JPEG_Q70,32.62977468606194,0.8898101157094721,0.02510199137032032,1.2506103515625
kodak,JPEG_Q90,35.895649901538775,0.9423846135888835,0.006815056316554546,2.36572265625
kodak,PNG,inf,1.0,0.0,14.004150390625
kodak,WebP,32.252313792615496,0.8772906264427786,0.05337732657790184,0.658935546875
kodak,AE,12.837085119955521,0.3975754088946148,0.799718976020813,64.0
kodak,VAE,12.578896816423066,0.28394205203271167,0.7604924440383911,256.0
kodak,NIC_Q1,27.523861700760076,0.7531505762835216,0.26740944385528564,0.9296875
