Dataset,Agent,Quality,PSNR,SSIM,BPP
kodak,WebP_Q75,75,33.35906831143349,0.9452258645688882,1.46484375
kodak,WebP_Q75,75,33.282720397953454,0.8693182431562684,0.598876953125
kodak,WebP_Q75,75,34.838632483651764,0.9290272657176745,0.694091796875
kodak,WebP_Q75,75,33.63369297112753,0.9040161887419114,0.873291015625
kodak,WebP_Q75,75,31.34646994819888,0.9513442997038779,2.104736328125
kodak,WebP_Q75,75,33.820464260690095,0.9289404381271712,1.17138671875
kodak,WebP_Q75,75,33.510891499780804,0.9543898392429125,1.0849609375
kodak,WebP_Q75,75,32.40063146869584,0.9614994535546405,1.843505859375
kodak,WebP_Q75,75,35.34113591788756,0.9500397516288981,0.745849609375
kodak,WebP_Q75,75,35.04229672399126,0.9386539518487034,0.8798828125
kodak,WebP_Q75,75,33.68959879732205,0.9229809266033007,1.05126953125
kodak,WebP_Q75,75,35.24418590137037,0.9170722618910291,0.644287109375
kodak,WebP_Q75,75,32.35730902943231,0.9413066961878744,1.99609375
kodak,WebP_Q75,75,31.07972579558377,0.9231332480392701,1.571533203125
kodak,WebP_Q75,75,34.16869232940156,0.9209850327922462,0.74169921875
kodak,WebP_Q75,75,35.08774309656535,0.9184223229757018,0.829345703125
kodak,WebP_Q75,75,34.9452140269519,0.9456768583646814,0.951171875
kodak,WebP_Q75,75,32.15555162399782,0.9212377671472766,1.483642578125
kodak,WebP_Q75,75,34.49925115365939,0.9272723805453412,1.006591796875
kodak,WebP_Q75,75,35.193361259012356,0.9483722346248865,0.673828125
kodak,WebP_Q75,75,33.72454755373862,0.9444237343427141,1.0830078125
kodak,WebP_Q75,75,32.83851998779711,0.9002021487789692,1.051025390625
kodak,WebP_Q75,75,34.45316727080102,0.9331676982367724,0.756103515625
kodak,WebP_Q75,75,32.96988062546107,0.9387309034034296,1.411865234375
